Country,Month_name,Month,Year,Events,Fatalities
Kenya,June,6,2011,13,37
Kenya,July,7,2011,2,4
Kenya,August,8,2011,1,1
Kenya,September,9,2011,1,1
Kenya,October,10,2011,10,13
Kenya,November,11,2011,13,36
Kenya,December,12,2011,7,3
Kenya,January,1,2012,17,31
Kenya,February,2,2012,28,19
Kenya,March,3,2012,13,27
Kenya,April,4,2012,7,5
Kenya,May,5,2012,13,11
Kenya,June,6,2012,22,10
Kenya,July,7,2012,19,32
Kenya,August,8,2012,21,88
Kenya,September,9,2012,26,76
Kenya,October,10,2012,29,39
Kenya,November,11,2012,25,83
Kenya,December,12,2012,27,80
Kenya,January,1,2013,46,57
Kenya,February,2,2013,38,43
Kenya,March,3,2013,49,61
Kenya,April,4,2013,36,46
Kenya,May,5,2013,35,63
Kenya,June,6,2013,26,63
Kenya,July,7,2013,9,25
Kenya,August,8,2013,31,82
Kenya,September,9,2013,34,114
Kenya,October,10,2013,19,19
Kenya,November,11,2013,23,50
Kenya,December,12,2013,28,128
Kenya,January,1,2014,24,30
Kenya,February,2,2014,15,13
Kenya,March,3,2014,23,31
Kenya,April,4,2014,20,15
Kenya,May,5,2014,17,54
Kenya,June,6,2014,26,128
Kenya,July,7,2014,22,68
Kenya,August,8,2014,22,51
Kenya,September,9,2014,15,19
Kenya,October,10,2014,20,30
Kenya,November,11,2014,21,91
Kenya,December,12,2014,23,78
Kenya,January,1,2015,12,23
Kenya,February,2,2015,16,12
Kenya,March,3,2015,21,32
Kenya,April,4,2015,13,162
Kenya,May,5,2015,10,95
Kenya,June,6,2015,11,58
Kenya,July,7,2015,13,33
Kenya,August,8,2015,11,26
Kenya,September,9,2015,2,1
Kenya,October,10,2015,10,6
Kenya,November,11,2015,6,4
Kenya,December,12,2015,20,46
Kenya,January,1,2016,7,17
Kenya,February,2,2016,6,10
Kenya,March,3,2016,6,2
Kenya,April,4,2016,2,1
Kenya,May,5,2016,8,14
Kenya,June,6,2016,18,40
Kenya,July,7,2016,17,37
Kenya,August,8,2016,15,12
Kenya,September,9,2016,11,22
Kenya,October,10,2016,14,25
Kenya,November,11,2016,13,16
Kenya,December,12,2016,19,24
Kenya,January,1,2017,14,16
Kenya,February,2,2017,26,38
Kenya,March,3,2017,40,71
Kenya,April,4,2017,64,57
Kenya,May,5,2017,49,85
Kenya,June,6,2017,39,67
Kenya,July,7,2017,46,91
Kenya,August,8,2017,73,82
Kenya,September,9,2017,20,35
Kenya,October,10,2017,74,46
Kenya,November,11,2017,23,65
Kenya,December,12,2017,8,20
Kenya,January,1,2018,28,47
Kenya,February,2,2018,32,45
Kenya,March,3,2018,10,26
Kenya,April,4,2018,22,22
Kenya,May,5,2018,26,31
Kenya,June,6,2018,26,20
Kenya,July,7,2018,35,19
Kenya,August,8,2018,23,28
Kenya,September,9,2018,68,106
Kenya,October,10,2018,29,43
Kenya,November,11,2018,44,38
Kenya,December,12,2018,30,26
Kenya,January,1,2019,27,38
Kenya,February,2,2019,16,22
